entity,orig_entity,variable,subj,edit
dog,cat,typical_token_y,Siamese,Siamese -> dog
dog,cow,typical_token_y,Holstein,Holstein -> dog
dog,pig,typical_token_y,Hampshire,Hampshire -> dog
dog,bird,typical_token_y,sparrow,sparrow -> dog
dog,bee,typical_token_y,bumblebee,bumblebee -> dog
dog,fish,typical_token_y,trout,trout -> dog
dog,snake,typical_token_y,cobra,cobra -> dog
cat,dog,typical_token_y,Labrador,Labrador -> cat
cat,cow,typical_token_y,Holstein,Holstein -> cat
cat,pig,typical_token_y,Hampshire,Hampshire -> cat
cat,bird,typical_token_y,sparrow,sparrow -> cat
cat,bee,typical_token_y,bumblebee,bumblebee -> cat
cat,fish,typical_token_y,trout,trout -> cat
cat,snake,typical_token_y,cobra,cobra -> cat
cow,dog,typical_token_y,Labrador,Labrador -> cow
cow,cat,typical_token_y,Siamese,Siamese -> cow
cow,pig,typical_token_y,Hampshire,Hampshire -> cow
cow,bird,typical_token_y,sparrow,sparrow -> cow
cow,bee,typical_token_y,bumblebee,bumblebee -> cow
cow,fish,typical_token_y,trout,trout -> cow
cow,snake,typical_token_y,cobra,cobra -> cow
pig,dog,typical_token_y,Labrador,Labrador -> pig
pig,cat,typical_token_y,Siamese,Siamese -> pig
pig,cow,typical_token_y,Holstein,Holstein -> pig
pig,bird,typical_token_y,sparrow,sparrow -> pig
pig,bee,typical_token_y,bumblebee,bumblebee -> pig
pig,fish,typical_token_y,trout,trout -> pig
pig,snake,typical_token_y,cobra,cobra -> pig
bird,dog,typical_token_y,Labrador,Labrador -> bird
bird,cat,typical_token_y,Siamese,Siamese -> bird
bird,cow,typical_token_y,Holstein,Holstein -> bird
bird,pig,typical_token_y,Hampshire,Hampshire -> bird
bird,bee,typical_token_y,bumblebee,bumblebee -> bird
bird,fish,typical_token_y,trout,trout -> bird
bird,snake,typical_token_y,cobra,cobra -> bird
bee,dog,typical_token_y,Labrador,Labrador -> bee
bee,cat,typical_token_y,Siamese,Siamese -> bee
bee,cow,typical_token_y,Holstein,Holstein -> bee
bee,pig,typical_token_y,Hampshire,Hampshire -> bee
bee,bird,typical_token_y,sparrow,sparrow -> bee
bee,fish,typical_token_y,trout,trout -> bee
bee,snake,typical_token_y,cobra,cobra -> bee
fish,dog,typical_token_y,Labrador,Labrador -> fish
fish,cat,typical_token_y,Siamese,Siamese -> fish
fish,cow,typical_token_y,Holstein,Holstein -> fish
fish,pig,typical_token_y,Hampshire,Hampshire -> fish
fish,bird,typical_token_y,sparrow,sparrow -> fish
fish,bee,typical_token_y,bumblebee,bumblebee -> fish
fish,snake,typical_token_y,cobra,cobra -> fish
snake,dog,typical_token_y,Labrador,Labrador -> snake
snake,cat,typical_token_y,Siamese,Siamese -> snake
snake,cow,typical_token_y,Holstein,Holstein -> snake
snake,pig,typical_token_y,Hampshire,Hampshire -> snake
snake,bird,typical_token_y,sparrow,sparrow -> snake
snake,bee,typical_token_y,bumblebee,bumblebee -> snake
snake,fish,typical_token_y,trout,trout -> snake
dog,cat,rare_token_y,Maine Coon,Maine Coon -> dog
dog,cow,rare_token_y,Vaynol,Vaynol -> dog
dog,pig,rare_token_y,Tamworth,Tamworth -> dog
dog,bird,rare_token_y,Owlet,Owlet -> dog
dog,bee,rare_token_y,Andrena,Andrena -> dog
dog,fish,rare_token_y,grouper,grouper -> dog
dog,snake,rare_token_y,Ninia,Ninia -> dog
cat,dog,rare_token_y,Puli,Puli -> cat
cat,cow,rare_token_y,Vaynol,Vaynol -> cat
cat,pig,rare_token_y,Tamworth,Tamworth -> cat
cat,bird,rare_token_y,Owlet,Owlet -> cat
cat,bee,rare_token_y,Andrena,Andrena -> cat
cat,fish,rare_token_y,grouper,grouper -> cat
cat,snake,rare_token_y,Ninia,Ninia -> cat
cow,dog,rare_token_y,Puli,Puli -> cow
cow,cat,rare_token_y,Maine Coon,Maine Coon -> cow
cow,pig,rare_token_y,Tamworth,Tamworth -> cow
cow,bird,rare_token_y,Owlet,Owlet -> cow
cow,bee,rare_token_y,Andrena,Andrena -> cow
cow,fish,rare_token_y,grouper,grouper -> cow
cow,snake,rare_token_y,Ninia,Ninia -> cow
pig,dog,rare_token_y,Puli,Puli -> pig
pig,cat,rare_token_y,Maine Coon,Maine Coon -> pig
pig,cow,rare_token_y,Vaynol,Vaynol -> pig
pig,bird,rare_token_y,Owlet,Owlet -> pig
pig,bee,rare_token_y,Andrena,Andrena -> pig
pig,fish,rare_token_y,grouper,grouper -> pig
pig,snake,rare_token_y,Ninia,Ninia -> pig
bird,dog,rare_token_y,Puli,Puli -> bird
bird,cat,rare_token_y,Maine Coon,Maine Coon -> bird
bird,cow,rare_token_y,Vaynol,Vaynol -> bird
bird,pig,rare_token_y,Tamworth,Tamworth -> bird
bird,bee,rare_token_y,Andrena,Andrena -> bird
bird,fish,rare_token_y,grouper,grouper -> bird
bird,snake,rare_token_y,Ninia,Ninia -> bird
bee,dog,rare_token_y,Puli,Puli -> bee
bee,cat,rare_token_y,Maine Coon,Maine Coon -> bee
bee,cow,rare_token_y,Vaynol,Vaynol -> bee
bee,pig,rare_token_y,Tamworth,Tamworth -> bee
bee,bird,rare_token_y,Owlet,Owlet -> bee
bee,fish,rare_token_y,grouper,grouper -> bee
bee,snake,rare_token_y,Ninia,Ninia -> bee
fish,dog,rare_token_y,Puli,Puli -> fish
fish,cat,rare_token_y,Maine Coon,Maine Coon -> fish
fish,cow,rare_token_y,Vaynol,Vaynol -> fish
fish,pig,rare_token_y,Tamworth,Tamworth -> fish
fish,bird,rare_token_y,Owlet,Owlet -> fish
fish,bee,rare_token_y,Andrena,Andrena -> fish
fish,snake,rare_token_y,Ninia,Ninia -> fish
snake,dog,rare_token_y,Puli,Puli -> snake
snake,cat,rare_token_y,Maine Coon,Maine Coon -> snake
snake,cow,rare_token_y,Vaynol,Vaynol -> snake
snake,pig,rare_token_y,Tamworth,Tamworth -> snake
snake,bird,rare_token_y,Owlet,Owlet -> snake
snake,bee,rare_token_y,Andrena,Andrena -> snake
snake,fish,rare_token_y,grouper,grouper -> snake
